teamid,Stat,Value,Rank
29,faceOffsLost,1971,19th
29,faceOffsTaken,3822,26th
29,faceOffsWon,1851,26th
29,gamesPlayed,69,
29,goalsAgainstPerGame,2.638,4th
29,goalsPerGame,2.58,27th
29,losses,22,8th
29,ot,15,1st
29,penaltyKillOpportunities,,1st
29,penaltyKillPercentage,81.3,14th
29,powerPlayGoals,31,25th
29,powerPlayGoalsAgainst,31,3rd
29,powerPlayOpportunities,187,26th
29,powerPlayPercentage,16.6,26th
29,ptPctg,57.2,13th
29,pts,79,11th
29,savePctg,0.912,7th
29,shootingPctg,7.9,29th
29,shotsAllowed,29.9275,7th
29,shotsPerGame,32.6087,8th
29,winLeadFirstPer,0.579,29th
29,winLeadSecondPer,0.65,30th
29,winOppScoreFirst,0.265,22nd
29,winOutshootOpp,0.385,27th
29,winOutshotByOpp,0.586,27th
29,winScoreFirst,0.657,17th
29,wins,32,22nd
30,evGGARatio,1.1168,6th
30,faceOffWinPercentage,48.4,27th
30,faceOffsLost,2039,26th
30,faceOffsTaken,3950,7th
30,faceOffsWon,1911,21st
30,gamesPlayed,68,
30,goalsAgainstPerGame,3.132,22nd
30,goalsPerGame,3.132,13th
30,losses,27,19th
30,ot,7,22nd
30,penaltyKillOpportunities,,14th
30,penaltyKillPercentage,76.7,28th
30,powerPlayGoals,44,9th
30,powerPlayGoalsAgainst,47,25th
30,powerPlayOpportunities,213,9th
30,powerPlayPercentage,20.7,15th
30,ptPctg,55.1,21st
30,pts,75,21st
30,savePctg,0.898,28th
30,shootingPctg,10.4,9th
30,shotsAllowed,30.7206,11th
30,shotsPerGame,30.1029,25th
30,winLeadFirstPer,0.692,23rd
30,winLeadSecondPer,0.75,27th
30,winOppScoreFirst,0.324,17th
30,winOutshootOpp,0.615,2nd
30,winOutshotByOpp,0.405,2nd
30,winScoreFirst,0.676,21st
30,wins,34,20th
52,evGGARatio,0.9565,22nd
52,faceOffWinPercentage,50.1,15th
52,faceOffsLost,1928,12th
52,faceOffsTaken,3862,20th
52,faceOffsWon,1934,18th
52,gamesPlayed,69,
52,goalsAgainstPerGame,2.855,11th
52,goalsPerGame,2.971,17th
52,losses,28,21st
52,ot,6,25th
52,penaltyKillOpportunities,,2nd
52,penaltyKillPercentage,77.2,24th
52,powerPlayGoals,42,14th
52,powerPlayGoalsAgainst,39,13th
52,powerPlayOpportunities,203,16th
52,powerPlayPercentage,20.7,14th
52,ptPctg,55.1,20th
52,pts,76,19th
52,savePctg,0.912,6th
52,shootingPctg,9.5,15th
52,shotsAllowed,32.4493,25th
52,shotsPerGame,31.3478,16th
52,winLeadFirstPer,0.857,6th
52,winLeadSecondPer,0.96,3rd
52,winOppScoreFirst,0.324,14th
52,winOutshootOpp,0.419,23rd
52,winOutshotByOpp,0.559,23rd
52,winScoreFirst,0.719,20th
52,wins,35,16th
53,evGGARatio,1.0323,12th
53,faceOffWinPercentage,49.2,21st
53,faceOffsLost,1990,22nd
53,faceOffsTaken,3919,15th
53,faceOffsWon,1929,19th
53,gamesPlayed,69,
53,goalsAgainstPerGame,2.594,3rd
53,goalsPerGame,2.725,23rd
53,losses,28,22nd
53,ot,8,15th
53,penaltyKillOpportunities,,10th
53,penaltyKillPercentage,82.6,7th
53,powerPlayGoals,41,17th
53,powerPlayGoalsAgainst,34,8th
53,powerPlayOpportunities,212,10th
53,powerPlayPercentage,19.3,18th
53,ptPctg,53.6,22nd
53,pts,74,22nd
53,savePctg,0.92,2nd
53,shootingPctg,8.6,24th
53,shotsAllowed,32.4058,23rd
53,shotsPerGame,31.6232,15th
53,winLeadFirstPer,0.72,21st
